Date,Open,High,Low,Close,Volume
2008-06-26,25.3941,25.4358, 24.672,24.79, 3817200
2008-06-25,24.9279,25.8861,24.9279,25.65, 3563600
2008-06-24,25.6484,25.7317,25.1275,25.44, 4052400
2008-06-23,26.1528,26.2569,25.7292,25.75, 4274700
2008-06-20,26.0692,26.2289,25.6942,26.09, 6029600
2008-06-19,25.9936,26.3894,25.8825,26.32, 3623800
2008-06-18,25.7655,26.0989,25.6891,25.96, 3694800
2008-06-17,26.0286, 26.237,25.5633,25.98, 4748900
2008-06-16,25.6969,26.2039,25.3636,25.94, 6624800
2008-06-13,  25.66,  25.91,25.4169,25.91, 3037900
2008-06-12,25.2589,26.0298,25.2589,25.62, 3489300
2008-06-11,25.0936,25.5727,25.0936,25.17, 2636600
2008-06-10,25.2561,25.6311,25.2353,25.52, 2406100
2008-06-09,25.4317,25.7303,25.1678,25.64, 3726200
2008-06-06,25.9263,25.9541,25.2875,25.35, 3546300
2008-06-05,25.7234,26.2094,25.6332,26.14, 2896500
2008-06-04,25.5928, 25.947,25.4053,25.69, 4756400
2008-06-03,25.7489,26.0058,25.4295,25.61, 3541800
2008-06-02,25.6408,25.8769,25.4187,25.62, 4762400
2008-05-30,25.8073,26.0364, 25.592,25.96, 3587500
2008-05-29,25.6411, 25.898,25.3426,25.78, 3907000
2008-05-28,25.3058,25.7572,25.1392,25.66, 4287800
2008-05-27, 24.797,25.3456,24.7484,25.29, 4152600
2008-05-23,24.9083,25.1167,24.7417,24.95, 3326800
2008-05-22,24.7739,25.1766,24.7045,25.01, 3048300
2008-05-21,24.7344,25.2483, 24.672,24.79, 3468900
2008-05-20,24.9869,24.9869,24.3065,24.73, 3842100
2008-05-19, 24.195,25.5904,24.1256,25.16, 6808100
2008-05-16,24.5922,24.5922,24.0297,24.37, 4595200
2008-05-15,23.7276,24.8247,23.6373,24.54,12392200
2008-05-14,22.5344,  23.09,22.3817,22.59, 4093600
2008-05-13,22.4911,22.5605,22.2342,22.38, 2373700
2008-05-12,22.2786,22.5008, 22.105,22.48, 4555100
2008-05-09,21.9278,22.3166,21.8098,22.15, 3817700
2008-05-08,22.3628,22.3975,21.8489,22.21, 2193700
2008-05-07,22.0847,22.3347,22.0014,22.05, 2819300
2008-05-06,21.7736, 22.232, 21.586, 22.1, 2374400
2008-05-05,22.3142,22.3142,21.8211,21.96, 2163500
2008-05-02,21.7631,22.3117,21.7561,22.27, 5002600
2008-05-01,20.9749,21.6347,20.7596, 21.6, 4509500
2008-04-30,21.2856, 21.355,20.8411,20.98, 4500900
2008-04-29,  21.22,21.4977,21.0811,21.22, 4065900
2008-04-28,21.9427,21.9983,21.2483,21.29, 3524900
2008-04-25,21.8969,22.0705,21.4873,21.89, 2904500
2008-04-24,21.5453,22.0452,21.4203,21.83, 3332800
2008-04-23,20.9252,21.6541,20.9182,21.55, 3240300
2008-04-22,21.1692,21.2595, 20.808,20.94, 2113800
2008-04-21,21.3317,21.5191,21.0956,21.29, 2514900
2008-04-18,21.2739,21.7392,21.2113,21.51, 3037600
2008-04-17,21.1816,21.3066,20.7442,20.89, 2748600
2008-04-16,20.3739,21.2489,20.3739,21.11, 4029900
2008-04-15,21.0732,21.1496,  19.99,20.24, 6553100
2008-04-14,20.9267,  21.26,  20.76,21.01, 1849400
2008-04-11,21.3435,21.3852,20.8297,20.92, 2567400
2008-04-10,21.5217,21.6952, 21.362,21.48, 3267500
2008-04-09,21.8478,21.9381,21.3478,21.57, 2126600
2008-04-08, 21.755,21.9217,21.6439,21.88, 2227600
2008-04-07,22.0241,22.2116,21.8853,21.92, 1860000
2008-04-04,21.8464,22.2005,21.7422,22.02, 1992700
2008-04-03,21.5098,22.0097,21.5098,21.85, 2482100
2008-04-02,21.5164,21.9817,21.4469,21.69, 3447900
2008-04-01,20.7695,21.5125,20.7695,21.45, 3152500
2008-03-31,20.4878,20.7655, 20.342,20.71, 3144400
2008-03-28,20.3525,20.6511,20.3456,20.54, 4468700
2008-03-27,20.8316,20.8594,20.2831,20.29, 3697200
2008-03-26,20.9658,21.0005,20.7575,20.82, 2459600
2008-03-25,21.0361,21.1611,20.8417,21.05, 1994400
2008-03-24,20.6396,21.2227,20.5493,21.07, 2460800
2008-03-20,20.5097,20.6486,20.1555, 20.6, 6058200
2008-03-19,21.2202,21.4077,  20.38,20.38, 3349700
2008-03-18,20.8336,21.1739,20.4794,21.16, 3676600
2008-03-17,20.0515,20.8222,20.0515, 20.6, 4426600
2008-03-14,21.2882,21.2882,20.3786,20.58, 4064800
2008-03-13, 20.812,21.2703,20.6175,21.18, 4423700
2008-03-12,21.0744,21.7272,20.9356,21.13, 3995500
2008-03-11,20.9381,21.1186,20.4519,21.07, 4285800
2008-03-10,20.8363,20.9405,20.4753,20.51, 3436000
2008-03-07,20.8036,21.2827,20.7064,20.88, 4018800
2008-03-06,21.1869,21.3189,20.9022,20.93, 2954300
2008-03-05,21.0903,21.3819,20.9444,21.25, 3761700
2008-03-04,21.1136,21.3428,20.8011,21.19, 4606500
2008-03-03,21.2736,21.4195,21.0444,21.35, 2831600
2008-02-29,21.7184,21.8295,21.1905,21.26, 4958400
2008-02-28,22.0286,22.1606,21.6397,21.98, 3526200
2008-02-27,22.0386,22.5247,21.9761,22.24, 2893900
2008-02-26,21.8106,22.1578,21.6925,22.13, 9127500
2008-02-25,21.8145,22.0713,21.6617,21.87, 4274500
2008-02-22,21.8239, 21.928,21.3726,21.81, 3111100
2008-02-21,21.9292,   22.2,21.8458,21.95, 5573100
2008-02-20,21.2513,21.9455,21.2305,21.89, 4819900
2008-02-19,21.4869,21.5981,21.2994,21.48, 5457100
2008-02-15,21.8077,21.8979, 21.162,21.28, 5134900
2008-02-14,22.6916,22.7957,21.5598, 21.9, 9346300
2008-02-13,22.2526,23.0233,22.1623,22.69, 8414600
2008-02-12,22.2242,22.4325,22.0783,22.12, 5405800
2008-02-11,22.2172,22.2172,21.9256,22.12, 6432100
2008-02-08,22.3519,22.4422,22.0881,22.22, 7679800
2008-02-07,23.1766,23.2599,22.3572,22.51, 7715300
2008-02-06,23.6069,24.0027,23.2736,23.35, 4677700
2008-02-05,23.4658,24.0143,23.3061,23.32, 4682200
2008-02-04,23.8814,24.2078,23.8467,23.93, 2543500
2008-02-01,23.6106,24.0689,23.4508,23.93, 8779200
2008-01-31,23.3156,23.6975, 23.142,23.51, 8476200
2008-01-30,23.2301,24.2368,23.0218,23.73, 3739200
2008-01-29,23.3333,23.3681,23.0278,23.25, 2429600
2008-01-28,23.0369,23.3078, 22.773,23.28, 3319600
2008-01-25,23.6473,23.6473, 22.918,23.05, 3833000
2008-01-24,23.2397,23.6216,23.1078,23.33, 4278600
2008-01-23,22.0019,23.3003,21.8353,23.21, 6727600
2008-01-22, 22.196,23.0013, 21.703, 22.8, 6899000
2008-01-18,24.4114,24.4114,22.9812,23.37, 9815800
2008-01-17,24.7931,25.0917,24.4389,24.55, 5145100
2008-01-16,24.8256,25.1936,24.3047,24.77, 5653000
2008-01-15,25.0317, 25.233,24.7609,24.99, 3874800
2008-01-14,26.2662,26.2662,25.1345,25.44, 2758700
2008-01-11,25.4861,25.9792,24.9861,   25, 4102000
2008-01-10,24.5104,25.8644,24.3993,25.67, 6191600
2008-01-09,24.2297,24.7992,24.1117,24.57, 5362700
2008-01-08,24.5586,24.8295,24.4128,24.51, 5680800
2008-01-07,  24.54, 24.915,24.3386,24.54, 4901100
2008-01-04,24.7024,24.8898,24.1053,24.14, 4939300
2008-01-03,  25.21,25.2447,24.9114,24.96, 2789600
2008-01-02, 25.467,25.5572, 25.085,25.21, 2598700
2007-12-31,25.8988,25.9335,25.4197,25.51, 2844800
2007-12-28,25.7453,26.0439,25.7453,26.03, 3284300
2007-12-27,25.8942,26.0608,  25.79,25.79, 2628500
2007-12-26,25.5547,26.0478,25.5547,26.02, 1954100
2007-12-24,25.7564,25.8953,25.5967,25.68, 1075100
2007-12-21,25.5145,25.9241,25.4104,25.82, 3690200
2007-12-20,24.7345,25.3386,24.7345,25.29, 2766500
2007-12-19,24.3792,24.8305,24.3653,24.65, 3035600
2007-12-18,24.7411,24.9911,24.2897,24.38, 2798700
2007-12-17,25.0544,25.3183,24.5683,24.61, 2982800
2007-12-14,25.4113,25.6613,25.1753,25.21, 2840300
2007-12-13,25.5697,25.8266,25.3892,25.66, 2762900
2007-12-12,26.0864,26.5031,25.3988,25.76, 3052000
2007-12-11, 26.292,26.3059,25.2992,25.32, 3479100
2007-12-10,26.4142,26.5044,26.2475,26.31, 2036900
2007-12-07,26.3414,26.5497,26.2095,26.39, 1711400
2007-12-06,26.2667,26.5166,26.0306,26.35, 3260000
2007-12-05,26.3356,26.5231,26.0578,26.28, 2817700
2007-12-04,26.1133,26.4884,25.9953,26.03, 4236600
2007-12-03,26.0225,26.5155,26.0225,26.21, 2021400
2007-11-30,26.3811,26.3881,26.0964,26.27, 2632000
2007-11-29,26.3186,26.4853,25.9922,26.02, 4316500
2007-11-28,25.7112,26.4333,25.5862,26.35, 3202100
2007-11-27,25.3201,25.7991,25.2715,25.57, 3491900
2007-11-26,25.5783,26.0851,  25.37,25.37, 3260400
2007-11-23,25.6022,25.7064, 25.387,25.63, 1195700
2007-11-21,25.1884,25.7647,24.9662,25.48, 3251900
2007-11-20,24.8501,25.6347,24.8501,25.35, 3978600
2007-11-19,25.2905,25.5405,24.8114,24.86, 4901500
2007-11-16,24.2986,25.6667,24.2569, 25.5, 8877400
2007-11-15,23.4069, 24.268,23.3028, 23.4, 3405700
2007-11-14,23.6458,23.9514,23.4653,23.75, 2569500
2007-11-13, 23.418,23.6194,23.1819,23.55, 2565200
2007-11-12,22.8256,23.5894,22.8256,23.27, 3924900
2007-11-09,23.9262,23.9609,23.1136,23.19, 4467700
2007-11-08,24.4844,24.4844,23.6998,24.29, 3324300
2007-11-07, 24.745,25.1201,24.3283,24.37, 2974900
2007-11-06,  24.84,25.1733,24.5761,25.09, 3101500
2007-11-05, 24.655,24.9883,24.4051,24.78, 2982400
2007-11-02,25.2391,25.5099,24.8711,25.01, 1835700
2007-11-01,25.4647,25.7355,25.1592,25.18, 2688500
2007-10-31,25.0969,25.6178,24.8886,25.59, 2400600
2007-10-30,24.9139,25.1222,24.6292, 24.9, 1676800
2007-10-29,25.1658,25.3394,24.9228,25.02, 2029300
2007-10-26,25.4228,25.6936,24.6103,25.02, 1818400
2007-10-25,25.6876,25.7779,24.9934,25.16, 2125200
2007-10-24, 25.738,25.9116,25.2867,25.62, 3712900
2007-10-23,25.6492,25.9547,25.4826,25.92, 1994900
2007-10-22,25.6252,25.7502,25.1115,25.41, 1902000
2007-10-19,26.6708,26.6708,25.8445, 25.9, 2484500
2007-10-18,26.7039,26.8081,26.4191,26.69,  969400
2007-10-17, 26.765,26.9733,26.3623,26.64, 3214800
2007-10-16,26.7875,27.3084,26.4333, 26.6, 3666500
2007-10-15,26.3225,26.8363,26.1142,26.51, 2944000
2007-10-12,25.9603,26.2589,25.8144,26.12, 1222600
2007-10-11, 26.376,26.5496,25.8275,25.89, 2441900
2007-10-10,26.4389,26.5222, 26.175, 26.3, 1658600
2007-10-09,26.3264,26.5208,26.2986, 26.5, 1835900
2007-10-08,26.1989,26.3794,26.1295,26.31, 1396600
2007-10-05,25.9692,26.3372,25.9345,26.24, 2162700
2007-10-04,25.6009,25.9203,25.5939,25.83, 2786100
2007-10-03,25.6464,25.7227,25.2923,25.57, 1886700
2007-10-02,25.6206,25.8636,25.6206,25.69, 2910900
2007-10-01,25.6722,26.0403,25.6236, 25.7, 5086900
2007-09-28,25.6239,25.8044,25.4295,25.61, 3169400
2007-09-27,25.6939,25.8397,25.5342,25.68, 2657900
2007-09-26,25.7927,25.7927, 25.515,25.64, 2745400
2007-09-25,25.2731,25.6619,25.2453,25.53, 2174700
2007-09-24,25.5358,25.7025,25.2442,25.39, 2374200
2007-09-21,25.7758,25.9703,25.4217,25.63, 4433300
2007-09-20,25.7725,25.8767,25.5989,25.71, 2166900
2007-09-19,25.8631,26.0575,25.7242,25.87, 3213900
2007-09-18, 25.094,25.9689, 25.094,25.83, 2753100
2007-09-17,24.9853,25.1728,24.8395,25.02, 1395800
2007-09-14,25.1586,25.4086,24.9781,25.11, 2444300
2007-09-13,25.2925,25.3411,25.1467,25.23, 1909900
2007-09-12,25.0889,25.3458,24.9917, 25.2, 2526000
2007-09-11,25.1336,25.3419,25.0087,25.21, 3054900
2007-09-10,25.2992,25.3478,24.8339,25.07, 2804200
2007-09-07,25.0581, 25.315,25.0303,25.19, 2858600
2007-09-06,25.0042,   25.4,24.8862, 25.4, 2125500
2007-09-05,25.0753,25.1378,24.9017,25.11, 2916900
2007-09-04,25.4103,25.4728,25.0075,25.32, 2215400
2007-08-31,25.2105,25.3772,25.0508,25.28, 3166900
2007-08-30, 24.637,25.1022,24.4564,24.88, 2500900
2007-08-29,24.2857,  24.73, 24.251,24.73, 2640700
2007-08-28,24.2644,24.4518,24.0214,24.07, 4307700
2007-08-27,24.3861,24.5389,24.2125, 24.4, 2493200
2007-08-24,24.0859,24.4817,23.9679,24.44, 2321000
2007-08-23,23.9528, 24.175,23.7029,24.05, 2991600
2007-08-22,23.6895,23.9464,23.5229,23.87, 2837900
2007-08-21,23.2644,23.6394,23.1603,23.57, 3034600
2007-08-20,23.4133,23.5314,22.9828,23.33, 4957300
2007-08-17,22.8095,24.3024,22.6637,23.49, 7606100
2007-08-16,22.4267,22.8989,22.0657,22.76, 9505800
2007-08-15,21.8304,22.9622, 21.629,22.49,11039300
2007-08-14,24.8619,25.7647,24.8619,25.23, 4101700
2007-08-13,25.0008,25.7578,25.0008,25.23, 4556500
2007-08-10,25.4101,25.4101,24.4937,24.82, 4842000
2007-08-09,  27.01,27.3363,24.7048,24.92, 7472300
2007-08-08, 26.595,26.8311,26.3381,26.72, 4381300
2007-08-07,26.2527,26.8709, 26.218, 26.6, 4139100
2007-08-06,26.5653,   26.6,26.0931, 26.6, 3780300
2007-08-03,26.8699,26.9879,  26.37,26.37, 5331000
